time,node,result,start,end,node1,node2,node3,node4,node5,node6,node7,node8,real_time,now
60,"[4641219030, None, None, None, None, None, None, None]",1,6081092172,5551903399,4641219030,,,,,,,,51.9752,2021-11-18 07:13:44.884290
60,"[7902723623, 5525115497, None, None, None, None, None, None]",1,6081092172,5551903399,7902723623,5525115497,,,,,,,55.3099,2021-11-18 07:13:52.092955
60,"[5551875700, 4635126552, 5102781104, None, None, None, None, None]",1,6081092172,5551903399,5551875700,4635126552,5102781104,,,,,,62.5486,2021-11-18 07:14:12.904284
60,"[420450800, None, None, None, None, None, None, None]",1,6081092172,5551903399,420450800,,,,,,,,51.565,2021-11-18 07:14:17.808002
60,"[3110817111, None, None, None, None, None, None, None]",1,6081092172,5551903399,3110817111,,,,,,,,56.127,2021-11-18 07:14:21.561484
60,"[5537917658, 7855896156, None, None, None, None, None, None]",1,6081092172,5551903399,5537917658,7855896156,,,,,,,58.3535,2021-11-18 07:14:41.389570
60,"[5102780773, 4655013566, 5624667083, None, None, None, None, None]",1,6081092172,5551903399,5102780773,4655013566,5624667083,,,,,,65.7525,2021-11-18 07:14:48.363884
60,"[5095249928, 5537917678, None, None, None, None, None, None]",1,6081092172,5551903399,5095249928,5537917678,,,,,,,50.5536,2021-11-18 07:14:51.448651
60,"[3022011241, 4864185104, 7966949127, None, None, None, None, None]",1,6081092172,5551903399,3022011241,4864185104,7966949127,,,,,,64.5185,2021-11-18 07:14:59.916650
60,"[6661482006, 5537550985, 5095249960, None, None, None, None, None]",1,6081092172,5551903399,6661482006,5537550985,5095249960,,,,,,64.0843,2021-11-18 07:15:08.510708
60,"[7966916995, None, None, None, None, None, None, None]",1,6081092172,5551903399,7966916995,,,,,,,,51.6537,2021-11-18 07:15:20.423155
60,"[8244625923, None, None, None, None, None, None, None]",1,6081092172,5551903399,8244625923,,,,,,,,58.3946,2021-11-18 07:15:26.920514
60,"[4864256114, 7966907596, None, None, None, None, None, None]",1,6081092172,5551903399,4864256114,7966907596,,,,,,,62.933,2021-11-18 07:15:31.384438
60,"[7966948677, 5527438724, 4655013473, None, None, None, None, None]",1,6081092172,5551903399,7966948677,5527438724,4655013473,,,,,,58.6274,2021-11-18 07:15:36.418536
60,"[5102532641, 8961943631, 5550663706, None, None, None, None, None]",1,6081092172,5551903399,5102532641,8961943631,5550663706,,,,,,58.4836,2021-11-18 07:15:46.519450
60,"[7966922434, 5537928542, 5102781065, None, None, None, None, None]",1,6081092172,5551903399,7966922434,5537928542,5102781065,,,,,,55.3708,2021-11-18 07:15:50.501627
60,"[5537552009, None, None, None, None, None, None, None]",1,6081092172,5551903399,5537552009,,,,,,,,58.4038,2021-11-18 07:15:54.800136
60,"[5624709457, 5537552006, None, None, None, None, None, None]",1,6081092172,5551903399,5624709457,5537552006,,,,,,,69.7539,2021-11-18 07:16:00.103516
60,"[5102781003, 7966899574, 4655013551, None, None, None, None, None]",1,6081092172,5551903399,5102781003,7966899574,4655013551,,,,,,67.2707,2021-11-18 07:16:08.434042
60,"[5586151416, None, None, None, None, None, None, None]",1,6081092172,5551903399,5586151416,,,,,,,,64.5044,2021-11-18 07:16:16.330128
60,"[4636568928, 5586130585, None, None, None, None, None, None]",1,6081092172,5551903399,4636568928,5586130585,,,,,,,65.3414,2021-11-18 07:16:21.687489
60,"[4864256099, 8018719888, 5624667037, None, None, None, None, None]",1,6081092172,5551903399,4864256099,8018719888,5624667037,,,,,,62.145,2021-11-18 07:16:34.455921
60,"[5608611396, 4655013517, None, None, None, None, None, None]",1,6081092172,5551903399,5608611396,4655013517,,,,,,,50.0291,2021-11-18 07:16:40.374332
60,"[6077982441, 436837251, None, None, None, None, None, None]",1,6081092172,5551903399,6077982441,436837251,,,,,,,65.1418,2021-11-18 07:16:53.615511
60,"[4655013471, 5258666422, None, None, None, None, None, None]",1,6081092172,5551903399,4655013471,5258666422,,,,,,,63.9999,2021-11-18 07:17:00.319908
60,"[3969143341, None, None, None, None, None, None, None]",1,6081092172,5551903399,3969143341,,,,,,,,58.3946,2021-11-18 07:17:10.391932
60,"[436859403, None, None, None, None, None, None, None]",1,6081092172,5551903399,436859403,,,,,,,,60.4334,2021-11-18 07:17:14.544571
60,"[7966874627, None, None, None, None, None, None, None]",1,6081092172,5551903399,7966874627,,,,,,,,57.0891,2021-11-18 07:17:28.252843
60,"[5537488468, None, None, None, None, None, None, None]",1,6081092172,5551903399,5537488468,,,,,,,,62.9255,2021-11-18 07:17:33.544208
60,"[5539961464, 5101438515, None, None, None, None, None, None]",1,6081092172,5551903399,5539961464,5101438515,,,,,,,63.6789,2021-11-18 07:17:47.448402
60,"[4641219030, None, None, None, None, None, None, None]",1,6081092172,5551903399,4641219030,,,,,,,,51.9752,2021-11-18 07:17:51.644774
60,"[5525115510, 5538022554, None, None, None, None, None, None]",1,6081092172,5551903399,5525115510,5538022554,,,,,,,67.0369,2021-11-18 07:17:58.725674
60,"[8244625923, None, None, None, None, None, None, None]",1,6081092172,5551903399,8244625923,,,,,,,,58.3946,2021-11-18 07:18:04.351772
60,"[7966916994, None, None, None, None, None, None, None]",1,6081092172,5551903399,7966916994,,,,,,,,53.8192,2021-11-18 07:18:17.147606
60,"[4631924263, 5101439225, None, None, None, None, None, None]",1,6081092172,5551903399,4631924263,5101439225,,,,,,,57.3721,2021-11-18 07:18:26.115942
60,"[6081092172, 7712526497, 5102781094, None, None, None, None, None]",1,6081092172,5551903399,6081092172,7712526497,5102781094,,,,,,68.6414,2021-11-18 07:18:43.116799
