time,node,result,start,end,real_time,now
60,"[6081092172, 6874889420, 8018704536, 5537488444, 5102781098, None, None, None, None, None]",1,6081092172,5551903399,64.4553,2021-11-18 05:47:51.464482
60,"[6081092172, 7966873042, 8961943632, None, None, None, None, None, None, None]",1,6081092172,5551903399,67.232,2021-11-18 05:47:57.906812
60,"[6081092172, 8018744501, 5102781037, 5091044666, None, None, None, None, None, None]",1,6081092172,5551903399,54.5217,2021-11-18 05:48:11.312292
60,"[6081092172, 4655013497, 5539961472, 5537488394, None, None, None, None, None, None]",1,6081092172,5551903399,56.0938,2021-11-18 05:48:45.359835
60,"[6081092172, 5528099330, 4634754506, None, None, None, None, None, None, None]",1,6081092172,5551903399,66.4681,2021-11-18 05:49:23.780849
60,"[6081092172, 5527524153, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,54.1505,2021-11-18 05:49:38.430478
60,"[6081092172, 7966999057, 4634754519, None, None, None, None, None, None, None]",1,6081092172,5551903399,56.9857,2021-11-18 05:49:53.025529
60,"[6081092172, 5537488459, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,63.7848,2021-11-18 05:50:00.106706
60,"[6081092172, 5525115507, 7284123908, None, None, None, None, None, None, None]",1,6081092172,5551903399,52.39,2021-11-18 05:50:31.521080
60,"[6081092172, 436816090, 5527437618, None, None, None, None, None, None, None]",1,6081092172,5551903399,53.6371,2021-11-18 05:50:36.890751
60,"[6081092172, 5540029782, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,62.079,2021-11-18 05:50:55.279559
60,"[6081092172, 4864256108, 5091044669, None, None, None, None, None, None, None]",1,6081092172,5551903399,60.6454,2021-11-18 05:51:02.754464
60,"[6081092172, 4631924197, 4655013541, None, None, None, None, None, None, None]",1,6081092172,5551903399,64.8012,2021-11-18 05:51:58.334367
60,"[6081092172, 7966916995, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,51.6537,2021-11-18 05:52:23.950609
60,"[6081092172, 5537488469, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,63.5791,2021-11-18 05:52:47.595454
60,"[6081092172, 5528058815, 5126272146, None, None, None, None, None, None, None]",1,6081092172,5551903399,51.3045,2021-11-18 05:53:24.374703
60,"[6081092172, 8237161637, 5537551991, 5528099329, None, None, None, None, None, None]",1,6081092172,5551903399,59.0517,2021-11-18 05:53:55.304407
60,"[6081092172, 4655013497, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,53.3761,2021-11-18 05:53:59.077214
60,"[6081092172, 5101341304, 5538022555, None, None, None, None, None, None, None]",1,6081092172,5551903399,66.1242,2021-11-18 05:54:36.495099
60,"[6081092172, 4655013509, 5540029786, 7856166181, None, None, None, None, None, None]",1,6081092172,5551903399,61.9371,2021-11-18 05:54:53.063425
60,"[6081092172, 5537552018, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,59.9311,2021-11-18 05:56:04.497082
60,"[6081092172, 5091011723, 8018704527, 4631924219, None, None, None, None, None, None]",1,6081092172,5551903399,56.225,2021-11-18 05:56:12.570516
60,"[6081092172, 7712526522, 7966916993, None, None, None, None, None, None, None]",1,6081092172,5551903399,60.7195,2021-11-18 05:56:16.874365
60,"[6081092172, 5124032461, 4538696148, None, None, None, None, None, None, None]",1,6081092172,5551903399,69.0868,2021-11-18 05:56:22.972441
60,"[6081092172, 5537488415, 4655013559, 7902798233, None, None, None, None, None, None]",1,6081092172,5551903399,67.9344,2021-11-18 05:56:52.842013
60,"[6081092172, 5540029779, 7902831607, None, None, None, None, None, None, None]",1,6081092172,5551903399,60.9588,2021-11-18 05:57:14.318834
60,"[6081092172, 5524446100, 4634458152, None, None, None, None, None, None, None]",1,6081092172,5551903399,64.0544,2021-11-18 05:57:21.203111
60,"[6081092172, 6661482018, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,57.9204,2021-11-18 05:58:14.488437
60,"[6081092172, 5100222100, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,51.6885,2021-11-18 05:58:24.458818
60,"[6081092172, 5624690077, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,66.1303,2021-11-18 05:58:32.211895
60,"[6081092172, 5537488444, 5525267544, None, None, None, None, None, None, None]",1,6081092172,5551903399,59.755,2021-11-18 05:59:01.304615
60,"[6081092172, 5525152685, 5102781003, None, None, None, None, None, None, None]",1,6081092172,5551903399,58.6126,2021-11-18 05:59:11.282389
60,"[6081092172, 4864256109, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,62.3436,2021-11-18 05:59:28.029849
60,"[6081092172, 7902723668, 5527438724, None, None, None, None, None, None, None]",1,6081092172,5551903399,54.0104,2021-11-18 05:59:50.485286
60,"[6081092172, 5524601791, 5101376663, 8018738410, None, None, None, None, None, None]",1,6081092172,5551903399,57.8393,2021-11-18 06:00:35.553275
60,"[6081092172, 5091044661, 4655013581, None, None, None, None, None, None, None]",1,6081092172,5551903399,58.6222,2021-11-18 06:00:48.889257
